,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s)
librispeech_conformer_adafactor,100000.0,133333.33333333334,20000.0,19509.102707624435,905.6622250080109,0.3017394542694092,18602.86381816864,2507.4045674800873,2577.0,16095.459250688553,17423.0,0.923805271806724,123300.7946229307
librispeech_conformer_lamb,100000.0,133333.33333333334,20000.0,16055.599267721176,721.2141869068146,0.2702369689941406,15333.81836938858,2480.870813369751,3106.0,12852.94755601883,16894.0,0.7607995475327826,101557.76708977061
librispeech_conformer_nesterov,,,,,,,,,,,,,
librispeech_conformer_sam,100000.0,133333.33333333334,20000.0,31244.447150230408,1596.1029767990112,0.5134584903717041,29647.498578071594,2481.4508645534515,1589.0,27166.047713518143,18411.0,1.4755335241713183,196874.63131748769
librispeech_conformer_shampoo,,,,,,,,,,,,,
librispeech_deepspeech_adafactor,60000.0,80000.0,16000.0,19908.184634685516,956.464102268219,0.2884972095489502,18951.20355820656,2493.182278394699,1991.0,16458.02127981186,14009.0,1.1748177086024598,94139.53690876398
librispeech_deepspeech_lamb,60000.0,80000.0,16000.0,19492.931182146072,963.2093715667725,0.30461883544921875,18529.17635011673,2472.4168376922607,2053.0,16056.759512424469,13947.0,1.1512697721678116,92210.44176885668
librispeech_deepspeech_nesterov,,,,,,,,,,,,,
librispeech_deepspeech_sam,60000.0,80000.0,16000.0,38961.9516518116,1966.7799363136292,0.5436201095581055,36994.33605790138,2478.5178701877594,1008.0,34515.81818771362,14992.0,2.3022824298101403,184340.41156575037
librispeech_deepspeech_shampoo,60000.0,80000.0,16000.0,26247.021150112152,1492.3726167678833,0.4277646541595459,24753.981180906296,2548.4245970249176,1517.0,22205.556583881378,14483.0,1.5332152581565544,122879.75770292577
ogbg_adafactor,60000.0,80000.0,12000.0,4158.247465372086,1236.3799622058868,0.2485947608947754,2921.5102438926697,274.89994978904724,1001.0,2646.6102941036224,10999.0,0.24062281062856827,19283.861366635312
ogbg_lamb,60000.0,80000.0,12000.0,4193.737215042114,1241.1254153251648,0.24651074409484863,2952.262408733368,266.32204389572144,990.0,2685.9403648376465,11010.0,0.24395461987626216,19541.176560319196
ogbg_nesterov,60000.0,80000.0,12000.0,4181.026522159576,1256.0769217014313,0.24627423286437988,2924.6124749183655,259.5731270313263,989.0,2665.039347887039,11011.0,0.2420342700832839,19382.942840581672
ogbg_sam,60000.0,80000.0,12000.0,4804.5797600746155,1464.8310160636902,0.2878873348236084,3339.3511765003204,267.8613471984863,879.0,3071.489829301834,11121.0,0.27618827707057225,22120.15401729923
ogbg_shampoo,,,,,,,,,,,,,
wmt_adafactor,100000.0,133333.33333333334,20000.0,12823.317252635956,5194.309000968933,0.1838512420654297,7628.586567640305,932.0328078269958,2223.0,6696.553759813309,17777.0,0.3766976295107897,50320.98457886314
wmt_lamb,100000.0,133333.33333333334,20000.0,13047.502650737762,5480.6617114543915,0.1774442195892334,7566.391624689102,893.8091731071472,2228.0,6672.582451581955,17772.0,0.3754547857068397,50117.93400479761
wmt_nesterov,100000.0,133333.33333333334,20000.0,12497.750518321991,5303.651719331741,0.1788320541381836,7193.647973775864,870.9549169540405,2346.0,6322.693056821823,17654.0,0.3581450694925696,47783.422516267085
wmt_sam,100000.0,133333.33333333334,20000.0,25425.949693202972,11009.051575422287,0.3904757499694824,14416.241226673126,894.5841176509857,1170.0,13521.65710902214,18830.0,0.7180911900702146,95799.90943463078
wmt_shampoo,100000.0,133333.33333333334,20000.0,26885.228228330612,10212.769785881042,0.4328148365020752,16671.76833677292,1074.1816589832306,1037.0,15597.586677789688,18963.0,0.8225273784627796,109891.53789588794
